unique_transaction_id,transaction_status,dollarsobligated,baseandexercisedoptionsvalue,baseandalloptionsvalue,maj_agency_cat,mod_agency,maj_fund_agency_cat,contractingofficeagencyid,contractingofficeid,fundingrequestingagencyid,fundingrequestingofficeid,fundedbyforeignentity,signeddate,effectivedate,currentcompletiondate,ultimatecompletiondate,lastdatetoorder,contractactiontype,reasonformodification,typeofcontractpricing,priceevaluationpercentdifference,subcontractplan,lettercontract,multiyearcontract,performancebasedservicecontract,majorprogramcode,contingencyhumanitarianpeacekeepingoperation,contractfinancing,costorpricingdata,costaccountingstandardsclause,descriptionofcontractrequirement,purchasecardaspaymentmethod,numberofactions,nationalinterestactioncode,progsourceagency,progsourceaccount,progsourcesubacct,account_title,rec_flag,typeofidc,multipleorsingleawardidc,programacronym,vendorname,vendoralternatename,vendorlegalorganizationname,vendordoingasbusinessname,divisionname,divisionnumberorofficecode,vendorenabled,vendorlocationdisableflag,ccrexception,streetaddress,streetaddress2,streetaddress3,city,state,zipcode,vendorcountrycode,vendor_state_code,vendor_cd,congressionaldistrict,vendorsitecode,vendoralternatesitecode,dunsnumber,parentdunsnumber,phoneno,faxno,registrationdate,renewaldate,mod_parent,locationcode,statecode,PlaceofPerformanceCity,pop_state_code,placeofperformancecountrycode,placeofperformancezipcode,pop_cd,placeofperformancecongressionaldistrict,psc_cat,productorservicecode,systemequipmentcode,claimantprogramcode,principalnaicscode,informationtechnologycommercialitemcategory,gfe_gfp,useofepadesignatedproducts,recoveredmaterialclauses,seatransportation,contractbundling,consolidatedcontract,countryoforigin,placeofmanufacture,manufacturingorganizationtype,agencyid,piid,modnumber,transactionnumber,fiscal_year,idvagencyid,idvpiid,idvmodificationnumber,solicitationid,extentcompeted,reasonnotcompeted,numberofoffersreceived,commercialitemacquisitionprocedures,commercialitemtestprogram,smallbusinesscompetitivenessdemonstrationprogram,a76action,competitiveprocedures,solicitationprocedures,typeofsetaside,localareasetaside,evaluatedpreference,fedbizopps,research,statutoryexceptiontofairopportunity,organizationaltype,numberofemployees,annualrevenue,firm8aflag,hubzoneflag,sdbflag,issbacertifiedsmalldisadvantagedbusiness,shelteredworkshopflag,hbcuflag,educationalinstitutionflag,womenownedflag,veteranownedflag,srdvobflag,localgovernmentflag,minorityinstitutionflag,aiobflag,stategovernmentflag,federalgovernmentflag,minorityownedbusinessflag,apaobflag,tribalgovernmentflag,baobflag,naobflag,saaobflag,nonprofitorganizationflag,isothernotforprofitorganization,isforprofitorganization,isfoundation,haobflag,ishispanicservicinginstitution,emergingsmallbusinessflag,hospitalflag,contractingofficerbusinesssizedetermination,is1862landgrantcollege,is1890landgrantcollege,is1994landgrantcollege,isveterinarycollege,isveterinaryhospital,isprivateuniversityorcollege,isschoolofforestry,isstatecontrolledinstitutionofhigherlearning,isserviceprovider,receivescontracts,receivesgrants,receivescontractsandgrants,isairportauthority,iscouncilofgovernments,ishousingauthoritiespublicortribal,isinterstateentity,isplanningcommission,isportauthority,istransitauthority,issubchapterscorporation,islimitedliabilitycorporation,isforeignownedandlocated,isarchitectureandengineering,isdotcertifieddisadvantagedbusinessenterprise,iscitylocalgovernment,iscommunitydevelopedcorporationownedfirm,iscommunitydevelopmentcorporation,isconstructionfirm,ismanufacturerofgoods,iscorporateentitynottaxexempt,iscountylocalgovernment,isdomesticshelter,isfederalgovernmentagency,isfederallyfundedresearchanddevelopmentcorp,isforeigngovernment,isindiantribe,isintermunicipallocalgovernment,isinternationalorganization,islaborsurplusareafirm,islocalgovernmentowned,ismunicipalitylocalgovernment,isnativehawaiianownedorganizationorfirm,isotherbusinessororganization,isotherminorityowned,ispartnershiporlimitedliabilitypartnership,isschooldistrictlocalgovernment,issmallagriculturalcooperative,issoleproprietorship,istownshiplocalgovernment,istriballyownedfirm,istribalcollege,isalaskannativeownedcorporationorfirm,iscorporateentitytaxexempt,iswomenownedsmallbusiness,isecondisadvwomenownedsmallbusiness,isjointventurewomenownedsmallbusiness,isjointventureecondisadvwomenownedsmallbusiness,walshhealyact,servicecontractact,davisbaconact,clingercohenact,otherstatutoryauthority,prime_awardee_executive1,prime_awardee_executive1_compensation,prime_awardee_executive2,prime_awardee_executive2_compensation,prime_awardee_executive3,prime_awardee_executive3_compensation,prime_awardee_executive4,prime_awardee_executive4_compensation,prime_awardee_executive5,prime_awardee_executive5_compensation,interagencycontractingauthority,last_modified_date
b9a31e3cd167f9a2c33407418ddb1b79,active,787880.00,787880.00,787880.00,9700: DEPT OF DEFENSE,2100: DEPT OF THE ARMY,9700: DEPT OF DEFENSE,2100: DEPT OF THE ARMY,W9133L: W39L USA NG READINESS CENTER,97BZ: DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),HQ0105: DFAS INDIANAPOLIS CENTER,Not Applicable,09/26/2006,09/25/2006,09/25/2007,09/25/2007,,DO Delivery Order,: ,J: Firm Fixed Price,0,: ,X,N: No,N: NO - SERVICE WHERE PBA IS NOT USED.,,: ,Z: NOT APPLICABLE,: ,X,LOCAL SPORTS MARKETING,N: No,1,NONE: NONE,,,,,,,: ,,DOCUMENT AND PACKAGING BROKERS,,,,,,,,,10 COMMERCE DRIVE,,,PELHAM,AL,35124,UNITED STATES,AL,AL06,AL06,,,048754530,048754530,,,,,DOCUMENT AND PACKAGING BROKERS  INC.,58848,AL: ALABAMA,PELHAM,AL: ALABAMA,USA: UNITED STATES,351241847,AL06,AL06,R,R701: ADVERTISING SERVICES,000: NONE,C9E: ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,339941: PEN AND MECHANICAL PENCIL MANUFACTURING,Z: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,N: NO,D: NOT A BUNDLED REQUIREMENT,N: No,USA,D: MFG IN U.S.,: ,9700: DEPT OF DEFENSE,W9133L06F0294,0,0,2006,4730,GS07F0256N,0,,A: FULL AND OPEN COMPETITION,: ,1,D: ,N: No,N: NO,No,,MAFO: SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,FAIR,,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,03/28/2013
7bbc7c7aedbb87a6d40f7eaaf6d8c8b0,active,-952.00,.00,.00,9700: DEPT OF DEFENSE,2100: DEPT OF THE ARMY,9700: DEPT OF DEFENSE,2100: DEPT OF THE ARMY,W9124J: W6QM MICC CTR-FT SAM HOUSTON,2100: DEPT OF THE ARMY,W81JXP: W6CH USASA FT SAM HOUSTON,Not Applicable,09/13/2006,09/12/2006,09/30/2004,09/30/2004,,DO Delivery Order,K: CLOSE OUT,J: Firm Fixed Price,0,B: PLAN NOT REQUIRED ,X,N: No,N: NO - SERVICE WHERE PBA IS NOT USED.,,: ,C: PERCENTAGE OF COMPLETION PROGRESS PAYMENTS,N: No,X,REPAIR ROOF,Y: Yes,1,NONE: NONE,,,,,,,: ,,GALINDO ROOFING SERVICES,,,,,,,,,2153 HILLSIDE,,,SAN ANGELO,TX,76904,UNITED STATES,TX,TX11,TX11,,,144606436,144606436,,,,,GALINDO ROOFING  INC.,26784,TX: TEXAS,SAN ANTONIO,TX: TEXAS,USA: UNITED STATES,782345007,TX21,TX21,Z,Z199: MAINT-REP-ALT/MISC BLDGS,000: NONE,C2: CONSTRUCTION,"235610: ROOFING, SIDING, AND SHEET METAL CONTRACTORS",Z: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,N: NO,D: NOT A BUNDLED REQUIREMENT,N: No,USA,C: NOT A MANUFACTURED END PRODUCT,: ,9700: DEPT OF DEFENSE,0022,3,0,2006,9700,DADA1001D0019,0,,B: NOT AVAILABLE FOR COMPETITION,OTH: AUTHORIZED BY STATUTE,1,D: ,N: No,Y: YES,No,,: ,8AN: 8(A) SOLE SOURCE ,,: ,Y,,,,0,1000000,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,Y: Yes,N: No,,,,,,,,,,,,X: Not Applicable,07/22/2008
9bafdb5500d004be4a6288c727e56779,active,9701.82,9701.82,9701.82,9700: DEPT OF DEFENSE,1700: DEPT OF THE NAVY,9700: DEPT OF DEFENSE,1700: DEPT OF THE NAVY,N40083: NAVAL FAC ENGINEEERING CMD MIDWEST,1700: DEPT OF THE NAVY,N68330: NAVY REGION MID ATLANTIC RESERVE,Not Applicable,11/22/2005,10/01/2005,03/31/2006,03/31/2006,,PO Purchase Order,C: FUNDING ONLY ACTION,J: Firm Fixed Price,0,B: PLAN NOT REQUIRED ,X,N: No,N: NO - SERVICE WHERE PBA IS NOT USED.,,: ,: ,N: No,X,JANITORIAL SERVICES NMCRC PEORIA IL -- OPTION #4,N: No,1,NONE: NONE,,,,,,,: ,,COMMUNITY WORKSHOP & TRAINING,,,,,,,,,3215 N UNIVERSITY ST,,,PEORIA,IL,61604,UNITED STATES,IL,IL18,IL18,,,071420111,071420111,,,,,COMMUNITY WORKSHOP AND TRAINING CENTER  INC.,,IL: ILLINOIS,,IL: ILLINOIS,USA: UNITED STATES,616043612,IL18,IL18,S,S201: CUSTODIAL JANITORIAL SERVICES,000: NONE,S1: SERVICES,561720: JANITORIAL SERVICES,Z: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,N: NO,D: NOT A BUNDLED REQUIREMENT,N: No,USA,C: NOT A MANUFACTURED END PRODUCT,: ,9700: DEPT OF DEFENSE,N6895000M3508,P00009,0,2006,,,,,B: NOT AVAILABLE FOR COMPETITION,OTH: AUTHORIZED BY STATUTE,1,A: ,N: No,N: NO,No,,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,N: No,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,12/17/2009
cb98dd2011661954ad1bb44e8c1bf457,active,114000.00,.00,.00,9700: DEPT OF DEFENSE,5700: DEPT OF THE AIR FORCE,9700: DEPT OF DEFENSE,5700: DEPT OF THE AIR FORCE,FA8718: FA8718  ESC PKER,5700: DEPT OF THE AIR FORCE,FA8718: FA8718  ESC PKER,Not Applicable,12/15/2005,12/15/2005,03/15/2011,03/15/2011,,DCA Definitive Contract,: ,U: Cost Plus Fixed Fee,0,C: PLAN REQUIRED - INCENTIVE NOT INCLUDED ,X,N: No,N: NO - SERVICE WHERE PBA IS NOT USED.,,: ,Z: NOT APPLICABLE,Y: Yes,Y, ,N: No,1,NONE: NONE,,,,,,,: ,,UTAH STATE UNIVERSITY RESEARCH,,,,,,,,,1695 N RESEARCH PKWY,,,NORTH LOGAN,UT,84341,UNITED STATES,UT,UT01,UT01,,,097760433,072983455,,,,,UTAH STATE UNIVERSITY,54990,UT: UTAH,LOGAN,UT: UTAH,USA: UNITED STATES,843411947,UT01,UT01,A,AJ91: R&D-OTHER SCIENCES-B RES,000: NONE,S1: SERVICES,"541710: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",Z: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,N: NO,D: NOT A BUNDLED REQUIREMENT,N: No,USA,C: NOT A MANUFACTURED END PRODUCT,: ,9700: DEPT OF DEFENSE,FA871806C0001,0,0,2006,,,0,,A: FULL AND OPEN COMPETITION,: ,1,D: ,N: No,N: NO,No,,BR: BASIC RESEARCH ,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,Y,,,,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,N: No,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,04/19/2011
1caaea0deb82903245e5cfa5e1f040ba,active,7110.00,7110.00,7110.00,9700: DEPT OF DEFENSE,97AS: DEFENSE LOGISTICS AGENCY,9700: DEPT OF DEFENSE,97AS: DEFENSE LOGISTICS AGENCY,SPM4M1: DLA AVIATION,97AS: DEFENSE LOGISTICS AGENCY,SPM4M1: DLA AVIATION,Not Applicable,10/01/2005,10/01/2005,09/30/2006,09/30/2006,,PO Purchase Order,: ,J: Firm Fixed Price,,: ,X,N: No,X: NOT APPLICABLE,,: ,Z: NOT APPLICABLE,: ,X,"4502888105!MOTOR,CON",N: No,1,NONE: NONE,,,,,,,: ,,ARC SYSTEMS INCORPORATED,,,,,,,,,2090 JOSHUAS PATH,,,HAUPPAUGE,NY,117884764,UNITED STATES,NY,NY02,NY02,0020381230000,117884764,002038123,002038123,,,09/24/2001,01/18/2008,ARC SYSTEMS  INC.,32732,NY: NEW YORK,HAUPPAUGE,NY: NEW YORK,USA: UNITED STATES,117884114,NY02,NY02,61,"6105: MOTORS, ELECTRICAL",000: NONE,C9E: ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,335312: MOTOR AND GENERATOR MANUFACTURING,Z: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,N: NO,: ,N: No,USA,C: NOT A MANUFACTURED END PRODUCT,: ,9700: DEPT OF DEFENSE,SPM4M106V2510,0,0,2006,,,,,A: FULL AND OPEN COMPETITION,: ,5,D: ,Y: Yes,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,Y,,,,35,4400000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,08/11/2007
6f5cd50faac3aec976fd8222858bd01e,active,4934991.00,.00,.00,9700: DEPT OF DEFENSE,1700: DEPT OF THE NAVY,9700: DEPT OF DEFENSE,1700: DEPT OF THE NAVY,N00039: SPACE AND NAVAL WARFARE SYSTEMS,1700: DEPT OF THE NAVY,N00039: SPACE AND NAVAL WARFARE SYSTEMS,Not Applicable,12/22/2005,12/22/2005,04/30/2006,,,DCA Definitive Contract,C: FUNDING ONLY ACTION,U: Cost Plus Fixed Fee,0,B: PLAN NOT REQUIRED ,X,N: No,Y: YES - SERVICE WHERE PBA IS USED.,,: ,Z: NOT APPLICABLE,N: No,X, ,N: No,1,NONE: NONE,,,,,,,: ,,DARLINGTON INCORPORATED,,,,,,,,,2800 S SHIRLINGTON RD # 950,,,ARLINGTON,VA,222063601,UNITED STATES,VA,VA08,VA08,7846294460000PR,222063601,784629446,001216845,,,01/07/2002,10/03/2007,ITT CORPORATION,66000,CA: CALIFORNIA,SAN DIEGO,CA: CALIFORNIA,USA: UNITED STATES,921103127,CA53,CA53,J,J070: MAINT-REP OF ADP EQ & SUPPLIES,000: NONE,S1: SERVICES,541330: ENGINEERING SERVICES,F: NON-COMMERCIAL SERVICE,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,N: NO,D: NOT A BUNDLED REQUIREMENT,N: No,USA,C: NOT A MANUFACTURED END PRODUCT,: ,9700: DEPT OF DEFENSE,N0003903C0084,P00029,0,2006,,,,,A: FULL AND OPEN COMPETITION,: ,2,D: ,N: No,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,Y,,,,110,42000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,N: No,X: Not Applicable,Y: Yes,,,,,,,,,,,,X: Not Applicable,06/06/2007
1fadd1452980c9d289174cf11b4e6b65,active,3129094.00,.00,.00,9700: DEPT OF DEFENSE,5700: DEPT OF THE AIR FORCE,9700: DEPT OF DEFENSE,5700: DEPT OF THE AIR FORCE,FA8617: FA8617  AFLCMC  WNZ,5700: DEPT OF THE AIR FORCE,FA8617: FA8617  AFLCMC  WNZ,Not Applicable,11/15/2005,11/15/2005,07/31/2009,12/31/2009,,DCA Definitive Contract,B: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,J: Firm Fixed Price,0,C: PLAN REQUIRED - INCENTIVE NOT INCLUDED ,X,N: No,X: NOT APPLICABLE,,: ,Z: NOT APPLICABLE,N: No,X,"JPATS ARR/DEP:  EXERCISE CLIN 4022, CHANGE PRICE 5022, 6022",N: No,1,NONE: NONE,,,,,,,: ,,RAYTHEON AIRCRAFT COMPANY,,,,,,,,,10511 E CENTRAL AVE,,,WICHITA,KS,67206,UNITED STATES,KS,KS04,KS04,,,007482011,800097615,,,,,HAWKER BEECHCRAFT  INC,79000,KS: KANSAS,WICHITA,KS: KANSAS,USA: UNITED STATES,672062507,KS04,KS04,15,"1510: AIRCRAFT, FIXED WING",000: NONE,A1A: AIRFRAMES AND SPARES,336411: AIRCRAFT MANUFACTURING,Z: NOT IT PRODUCTS OR SERVICES,Y: Transaction uses GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U: UNKNOWN,D: NOT A BUNDLED REQUIREMENT,N: No,USA,C: NOT A MANUFACTURED END PRODUCT,: ,9700: DEPT OF DEFENSE,F3365701C0022,P00080,0,2006,,,,,C: NOT COMPETED,ONE: ONLY ONE SOURCE - OTHER ,1,A: ,N: No,N: NO,No,,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,,: ,Y,,,,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N: No,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,04/24/2010
74fed1a1b097cd1770c2e30603b07ab6,active,22193.00,22193.00,22193.00,9700: DEPT OF DEFENSE,1700: DEPT OF THE NAVY,9700: DEPT OF DEFENSE,1700: DEPT OF THE NAVY,N35949: NAVAL HOSPITAL TWENTYNINE PALMS CA,1700: DEPT OF THE NAVY,N35949: NAVAL HOSPITAL TWENTYNINE PALMS CA,Not Applicable,10/01/2005,10/01/2005,10/31/2005,09/30/2006,,DO Delivery Order,: ,J: Firm Fixed Price,0,A: PLAN NOT INCLUDED - NO SUBCONTRACTING POSSIBILITIES ,X,N: No,N: NO - SERVICE WHERE PBA IS NOT USED.,,: ,Z: NOT APPLICABLE,N: No,X,LABORATORY TESTING,N: No,1,NONE: NONE,,,,,,,: ,,LABORATORY CORPORATION OF AMER,,,,,,,,,358 SOUTH MAIN STREET,,,BURLINGTON,NC,27215,UNITED STATES,NC,NC06,NC06,,,012822243,861422434,,,,,LABORATORY CORPORATION OF AMERICA HOLDINGS,52008,TN: TENNESSEE,NASHVILLE,TN: TENNESSEE,USA: UNITED STATES,372172934,TN05,TN05,Q,Q301: LABORATORY TESTING SERVICES,000: NONE,C9B: MEDICAL AND DENTAL SUPPLIES AND EQUIPMENT,621511: MEDICAL LABORATORIES,Z: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,N: NO,D: NOT A BUNDLED REQUIREMENT,N: No,USA,D: MFG IN U.S.,: ,9700: DEPT OF DEFENSE,J513,0,0,2006,9700,N0024402D0001,0,,A: FULL AND OPEN COMPETITION,: ,2,A: ,N: No,N: NO,No,,: ,NONE: NO SET ASIDE USED.,,: ,X,,,,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,N: No,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,10/16/2006
dd2779f2a1822da05b1bb5e26811a289,active,214191.00,.00,.00,9700: DEPT OF DEFENSE,2100: DEPT OF THE ARMY,9700: DEPT OF DEFENSE,2100: DEPT OF THE ARMY,W911S8: W6QM MICC-JB LEWIS-MC CHORD,2100: DEPT OF THE ARMY,W911S8: W6QM MICC-JB LEWIS-MC CHORD,Not Applicable,12/01/2005,12/01/2005,12/31/2005,,,DCA Definitive Contract,B: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,J: Firm Fixed Price,0,B: PLAN NOT REQUIRED ,X,N: No,Y: YES - SERVICE WHERE PBA IS USED.,,: ,Z: NOT APPLICABLE,N: No,X, ,N: No,1,NONE: NONE,,,,,,,: ,,HAROLD LEMAY ENTERPRISES INCORPORATED,CITY SAINTARY CO,HAROLD LEMAY ENTERPRISES INCORPORATED,PIERCE COUNTY REFUSE LEMAY MOBILE SHREDDING,,,,,,13502 PACIFIC AVE S,,,TACOMA,WA,984444742,UNITED STATES,WA,WA06,WA06,0038246610000PR,984444742,003824661,799869474,,,03/07/2002,06/23/2007,WASTE CONNECTIONS INC,24915,WA: WASHINGTON,TACOMA,WA: WASHINGTON,USA: UNITED STATES,984330010,WA09,WA09,S,S205: TRASH/GARBAGE COLLECTION,000: NONE,S1: SERVICES,562111: SOLID WASTE COLLECTION,Z: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U: UNKNOWN,D: NOT A BUNDLED REQUIREMENT,N: No,USA,C: NOT A MANUFACTURED END PRODUCT,: ,9700: DEPT OF DEFENSE,DAKF5702C0020,P60501,0,2006,,,,,B: NOT AVAILABLE FOR COMPETITION,ONE: ONLY ONE SOURCE - OTHER ,1,D: ,N: No,Y: YES,No,,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,40,10000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,N: No,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,04/24/2010
51ee9202c32a9ed7b51d1682764e5642,active,307359.00,.00,.00,9700: DEPT OF DEFENSE,2100: DEPT OF THE ARMY,9700: DEPT OF DEFENSE,2100: DEPT OF THE ARMY,W56HZV: W4GG HQ US ARMY TACOM,2100: DEPT OF THE ARMY,W56HZV: W4GG HQ US ARMY TACOM,Foreign Funds FMS,10/05/2005,10/05/2005,10/31/2006,,,DCA Definitive Contract,"A: ADDITIONAL WORK (NEW AGREEMENT,FAR PART 6 APPLIES)",S: Cost No Fee,0,D: PLAN REQUIRED - INCENTIVE INCLUDED ,X,N: No,N: NO - SERVICE WHERE PBA IS NOT USED.,,: ,D: UNUSUAL PROGRESS PAYMENTS OR ADVANCE PAYMENTS,Y: Yes,X, ,N: No,1,NONE: NONE,,,,,,,: ,,GENERAL DYNAMICS LAND SYSTEMS,,,,,,,,,38500 MOUND ROAD,,,STERLING HEIGH,MI,48310,UNITED STATES,MI,MI12,MI12,,,131266926,001381284,,,,,GENERAL DYNAMICS CORPORATION,76460,MI: MICHIGAN,STERLING HEIGHTS,MI: MICHIGAN,USA: UNITED STATES,483103260,MI10,MI10,R,R414: SYSTEMS ENGINEERING SERVICES,000: NONE,A4A: COMBAT VEHICLES,"336992: MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,N: NO,D: NOT A BUNDLED REQUIREMENT,N: No,USA,D: MFG IN U.S.,: ,9700: DEPT OF DEFENSE,W56HZV04C0136,P00016,0,2006,,,,,C: NOT COMPETED,ONE: ONLY ONE SOURCE - OTHER ,1,D: ,N: No,N: NO,No,,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,N: No,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,04/24/2010
